,dataset,anticausal,causal,algorithm
350,uniform,84.8217380959831,83.36942622649912,autoLFADS
351,uniform,85.06254170515682,91.49478109009573,autoLFADS
352,uniform,90.35882997045134,86.85057833786054,autoLFADS
353,uniform,90.14763324781335,92.30909451730498,autoLFADS
354,uniform,87.78045742687641,89.98330771298481,autoLFADS
355,uniform,86.13594872473817,90.90744497451225,autoLFADS
356,uniform,86.96065088020384,93.56027222178969,autoLFADS
357,uniform,87.22647206225153,90.47124788525576,autoLFADS
358,uniform,84.50407419910223,91.35240023208242,autoLFADS
359,uniform,89.44982510591373,82.99081572558258,autoLFADS
360,uniform,87.31666644879787,92.46268247948515,autoLFADS
361,uniform,87.27398826853279,91.95914092691821,autoLFADS
362,uniform,85.16096359807015,86.19510742257913,autoLFADS
363,uniform,87.95652261091035,88.12373132581261,autoLFADS
364,uniform,82.38172875019612,87.19135133133251,autoLFADS
365,uniform,88.5219088944674,91.66099352785191,autoLFADS
366,uniform,83.64223976467184,87.12859321145086,autoLFADS
367,uniform,91.67258918793482,87.15826673817848,autoLFADS
368,uniform,87.18240378496564,86.57881485284629,autoLFADS
369,uniform,90.27835084811007,86.47149579444594,autoLFADS
370,uniform,88.70254281147264,88.49683225867886,autoLFADS
371,uniform,91.23518433156728,92.59250960613592,autoLFADS
372,uniform,82.18866562583027,87.05805425928847,autoLFADS
373,uniform,89.38861932087339,93.41209230358021,autoLFADS
374,uniform,89.91321155130352,93.48015528368182,autoLFADS
375,uniform,89.46545725384682,89.54060956524175,autoLFADS
376,uniform,91.66784032242646,84.30822406195088,autoLFADS
377,uniform,84.06279918948123,89.32144571523357,autoLFADS
378,uniform,91.36227393554461,92.40308197318704,autoLFADS
379,uniform,83.39587716974431,87.05231262908943,autoLFADS
380,uniform,78.26994770439948,92.22478689436007,autoLFADS
381,uniform,81.09189083764294,68.78242955183825,autoLFADS
382,uniform,84.14745781488304,90.29763286505354,autoLFADS
383,uniform,89.21058352484492,91.97941438543168,autoLFADS
384,uniform,87.92276202605632,90.21613737783258,autoLFADS
385,uniform,82.92967249461873,88.26650687703525,autoLFADS
386,uniform,90.05320303911797,84.56791907020313,autoLFADS
387,uniform,90.76651811208376,90.87486381440415,autoLFADS
388,uniform,75.77089738142155,77.18071559438175,autoLFADS
389,uniform,87.28610573990612,82.45024399114807,autoLFADS
390,uniform,91.74739026686815,82.8383078152401,autoLFADS
391,uniform,90.05738726703021,92.16754428888929,autoLFADS
392,uniform,85.7556982903935,79.45596732453335,autoLFADS
393,uniform,89.37999099454001,83.61248863551947,autoLFADS
394,uniform,84.28221653249186,89.47730898200497,autoLFADS
395,uniform,90.10513138347629,94.68390002473912,autoLFADS
396,uniform,90.201205277757,86.96226020758348,autoLFADS
397,uniform,86.68463308714172,78.99225143625992,autoLFADS
398,uniform,86.6023471280354,91.01989541202256,autoLFADS
399,uniform,84.05734651957802,91.81115703398726,autoLFADS
